team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Mumbai Indians,Mayank Rawat,False,all_rounder,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Sherfane Rutherford,True,batter,79.0,1791.0,1175.0,134.0,114.0,79.0,60.0,9.0,17.0,34.0,16.0,3.0,1.0,0.0,102.0,196.0,8.0,23.0,0.0,22.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,26.0,0.0,4.0,2.0
Mumbai Indians,Mayank Markande,False,bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Shardul Thakur,False,all_rounder,10.0,18.0,12.0,3.0,0.0,5.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,204.0,375.0,13.0,60.0,0.0,21.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
Mumbai Indians,Hardik Pandya,False,all_rounder,44.0,812.0,507.0,57.0,51.0,36.0,29.0,1.0,10.0,15.0,9.0,1.0,0.0,0.0,696.0,1065.0,39.0,257.0,1.0,44.0,4.0,3.0,9.0,1.0,1.0,1.0,0.0,13.0,0.0,4.0,2.0
Mumbai Indians,Rohit Sharma,False,batter,19.0,500.0,337.0,47.0,26.0,19.0,16.0,1.0,2.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Mumbai Indians,Suryakumar Yadav,False,batter,57.0,1498.0,967.0,133.0,76.0,54.0,43.0,5.0,12.0,28.0,15.0,6.0,2.0,0.0,102.0,113.0,7.0,47.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,2.0
Mumbai Indians,Tilak Varma,False,batter,40.0,1117.0,821.0,82.0,52.0,40.0,30.0,2.0,7.0,25.0,9.0,4.0,0.0,0.0,27.0,29.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,6.0
Mumbai Indians,Ryan Rickleton,False,wicketkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Robin Minz,False,wicketkeeper,2.0,6.0,15.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Mitchell Santner,True,all_rounder,55.0,540.0,386.0,40.0,27.0,38.0,22.0,1.0,14.0,7.0,4.0,0.0,0.0,0.0,1135.0,1490.0,54.0,364.0,1.0,47.0,0.0,12.0,15.0,6.0,0.0,0.0,0.0,19.0,0.0,4.0,1.0
Mumbai Indians,Corbin Bosch,True,all_rounder,60.0,233.0,212.0,17.0,6.0,30.0,19.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,1177.0,1679.0,79.0,452.0,2.0,60.0,12.0,13.0,24.0,11.0,4.0,1.0,0.0,19.0,0.0,5.0,2.0
Mumbai Indians,Naman Dhir,False,all_rounder,13.0,254.1,139.8,25.3,13.0,12.25,8.3,1.0,1.0,4.0,1.0,0.0,0.0,0.0,34.8,45.9,0.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0
